municipality,latitude,longitude,surface_total_in_m2,surface_covered_in_m2,rooms,price_aprox_usd
Villa Crespo,-34.6047834183,-58.4586812499,120.0,110.0,4.0,180000.0
Chacarita,-34.5846508988,-58.4546932614,76.0,70.0,,129000.0
Villa Luro,-34.6389789,-58.500115,48.0,42.0,,87000.0
Constitución,-34.6252219,-58.3823825,42.0,42.0,2.0,57000.0
Once,-34.6106102,-58.4125107,57.0,50.0,3.0,90000.0
Almagro,-34.6038236,-58.4272911,74.0,74.0,3.0,138000.0
Barrio Norte,-34.5902501054,-58.3874693338,150.0,130.0,4.0,400000.0
Flores,-34.6265182557,-58.4724630529,50.0,50.0,2.0,82000.0
Belgrano,-34.5620844,-58.4566864,58.0,52.0,2.0,166000.0
Villa Crespo,-34.596715,-58.444045,40.0,36.0,2.0,75000.0
San Cristobal,-34.616182,-58.3926968,55.0,55.0,3.0,80000.0
Almagro,-34.6034659,-58.4159718,74.0,74.0,4.0,125000.0
Congreso,-34.6136992,-58.3897597,74.0,60.0,2.0,120000.0
Saavedra,-34.5475074,-58.4842066,68.0,52.0,2.0,145000.0
Balvanera,-34.6087015,-58.4039197,57.0,57.0,2.0,95000.0
Villa Crespo,-34.5975665,-58.4410115,190.0,55.0,2.0,155000.0
Belgrano,-34.5670929999,-58.4470949374,95.0,90.0,,300000.0
Parque Avellaneda,-34.645401,-58.4931185,44.0,44.0,2.0,95000.0
Recoleta,-34.5933599,-58.4124669,104.0,98.0,,280000.0
San Telmo,-34.620556,-58.371667,66.0,45.0,1.0,125151.86
Belgrano,-34.5620844,-58.4566864,40.0,35.0,1.0,118885.0
Recoleta,-34.5892291,-58.3909376,60.0,55.0,,190000.0
Caballito,-34.6206701,-58.4280921,78.0,74.0,3.0,157000.0
Almagro,-34.617869,-58.422687,56.0,50.0,,119000.0
Recoleta,-34.5972390007,-58.3975515537,90.0,82.0,3.0,290000.0
Almagro,-34.6044029,-58.418703,76.0,76.0,4.0,149000.0
Belgrano,-34.5628985,-58.4652556,66.0,63.0,3.0,199000.0
Barrio Norte,-34.5986461,-58.39644,113.0,109.0,1.0,283700.0
Barrio Norte,-34.5995053,-58.4019575,83.0,83.0,3.0,140000.0
Almagro,-34.61098,-58.417856,77.0,71.0,3.0,179869.0
Barrio Norte,-34.5899535,-58.4147517,140.0,140.0,5.0,328000.0
Flores,-34.6266557,-58.4562243,40.0,40.0,2.0,80000.0
Parque Centenario,-34.6076122891,-58.4401524326,37.0,34.0,,40711.36
Abasto,-34.603367,-58.4095145,41.0,38.0,1.0,84000.0
Villa Crespo,-34.5987952,-58.431148,56.0,44.0,2.0,110000.0
Belgrano,-34.5607997,-58.4661541,55.0,46.0,,137500.0
Once,-34.6085660579,-58.39925557,67.0,65.0,3.0,115000.0
Belgrano,-34.5630708666,-58.4431577725,135.0,123.0,,250000.0
Once,-34.6055653,-58.4042304,64.0,64.0,4.0,107000.0
Paternal,-34.6050835,-58.4608111,75.0,46.0,3.0,129500.0
Nuñez,-34.5493135,-58.4646149,40.0,35.0,2.0,84000.0
San Cristobal,-34.6200825,-58.3895203,42.0,38.0,1.0,85000.0
Palermo,-34.5832049,-58.4444227,35.0,35.0,,90000.0
Villa Lugano,-34.6603056,-58.5235778,79.0,65.0,,142200.0
Flores,-34.6315375,-58.4541557,75.0,61.0,,122000.0
Almagro,-34.6220775573,-58.4040959459,46.0,42.0,,99969.74
Almagro,-34.6254543,-58.4161104,70.0,70.0,,112000.0
Coghlan,-34.5675671,-58.4733152,34.0,34.0,1.0,85000.0
San Cristobal,-34.6188022,-58.3876241,85.0,83.0,,150000.0
Villa Crespo,-34.6039192,-58.4556556,44.0,44.0,1.0,92400.0
San Cristobal,-34.6148993692,-58.4096918347,65.0,60.0,,122000.0
Las Cañitas,-34.567984,-58.4337562,80.0,72.0,2.0,271000.0
Belgrano,-34.5750392,-58.4717864,81.0,62.0,3.0,235000.0
Belgrano,-34.5526272,-58.4546542,51.0,43.0,2.0,165000.0
Monserrat,-34.6114169,-58.3833629,50.0,50.0,3.0,84000.0
Villa Crespo,-34.6006047,-58.4313315,38.0,38.0,2.0,90000.0
Belgrano,-34.564511,-58.464647,129.0,122.0,4.0,341521.0
Palermo,-34.5751543197,-58.4383160847,65.0,55.0,,140000.0
Villa Pueyrredón,-34.5881967,-58.5014288,47.0,41.0,1.0,99000.0
Flores,-34.622597,-58.4637637,60.0,55.0,3.0,155000.0
Villa Pueyrredón,-34.5893031,-58.5050324,65.0,57.0,3.0,156000.0
Paternal,-34.606709,-58.466095,43.0,40.0,2.0,79000.0
San Telmo,-34.624235218,-58.3696383829,77.0,50.0,2.0,110000.0
Almagro,-34.5961219,-58.4255006,75.0,64.0,3.0,158000.0
Caballito,-34.6231484,-58.4471452,77.0,74.0,3.0,146000.0
Villa Luro,-34.6416277,-58.5010498,42.0,42.0,,92000.0
Parque Patricios,-34.6325264,-58.4095956,68.0,45.0,,92000.0
Balvanera,-34.6207818,-58.3985397,50.0,46.0,,99000.0
